case_id,description,country_type,personality_id,ethics,civics,authority,government,origin,personality_source,behaviors,expected_status,expected_primary,expected_secondary,ascension_perks,is_nomadic,is_wilderness,source_ref
erudite_behavior_overlap,Erudite anchor survives broad conqueror behavior flags,default,erudite_explorers,ethic_fanatic_materialist,civic_meritocracy,,,,current_source_resolved,conqueror|subjugator|multispecies|uplifter,classified,research,diplomatic|conquest,,unknown,unknown,synthetic:erudite_behavior_overlap
save_2_devouring_swarm,2270 Feral Hesukaran Annihilators,default,devouring_swarm,ethic_gestalt_consciousness,civic_hive_ascetic|civic_hive_devouring_swarm|civic_hive_subsumed_will,auth_hive_mind,gov_devouring_swarm,origin_default,,,classified,extermination,gestalt_growth,,false,false,save:2270.04.15.sav#country=2#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_3_evangelising_zealots,2270 Yadashite Divine Nation,default,evangelising_zealots,ethic_authoritarian|ethic_fanatic_spiritualist,civic_aristocratic_elite|civic_chosen|civic_efficient_bureaucracy,auth_oligarchic,gov_theocratic_oligarchy,origin_default,,,classified,conquest,,,false,false,save:2270.04.15.sav#country=3#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_12_honorbound,2270 AofB,default,honorbound_warriors,ethic_fanatic_militarist|ethic_spiritualist,civic_citizen_service|civic_distinguished_admiralty,auth_oligarchic,gov_citizen_stratocracy,origin_default,,,classified,conquest,,,false,false,save:2270.04.15.sav#country=12#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_33_purifier,2270 The Chosen,default,fanatic_purifiers,ethic_fanatic_xenophobe|ethic_spiritualist,civic_exalted_priesthood|civic_fanatic_purifiers|civic_functional_architecture,auth_dictatorial,gov_purity_order,origin_default,,,classified,extermination,,,false,false,save:2270.04.15.sav#country=33#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777220_spiritual_seeker,2270 Yafulonese Blessed Order,default,spiritual_seekers,ethic_fanatic_xenophile|ethic_spiritualist,civic_death_cult|civic_free_haven|civic_memory_vault,auth_dictatorial,gov_theocratic_dictatorship,origin_default,,,classified,diplomatic,,,false,false,save:2270.04.15.sav#country=16777220#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777222_hegemon,2270 Ater-Areni,default,hegemonic_imperialists,ethic_fanatic_materialist|ethic_militarist,civic_meritocracy|civic_storm_callers,auth_oligarchic,gov_executive_committee,origin_default,,,classified,conquest,research,,false,false,save:2270.04.15.sav#country=16777222#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777223_decadent,2270 Banind Coalition,default,decadent_hierarchy,ethic_authoritarian|ethic_materialist|ethic_pacifist,civic_environmentalist|civic_police_state|civic_slaver_guilds,auth_dictatorial,gov_totalitarian_regime,origin_default,,,classified,defensive,research|conquest,,false,false,save:2270.04.15.sav#country=16777223#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777225_crusader,2270 Cindari Mandate,default,democratic_crusaders,ethic_fanatic_egalitarian|ethic_militarist,civic_memory_vault|civic_nationalistic_zeal|civic_tankbound,auth_democratic,gov_military_commissariat,origin_separatists,,,classified,conquest,diplomatic,,false,false,save:2270.04.15.sav#country=16777225#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777226_purifier,2270 Bur'Huun Death Bringers,default,fanatic_purifiers,ethic_fanatic_xenophobe|ethic_militarist,civic_dark_consortium|civic_fanatic_purifiers,auth_democratic,gov_purity_assembly,origin_default,,,classified,extermination,conquest,,false,false,save:2270.04.15.sav#country=16777226#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
save_16777241_erudite,2270 Tggu Republic,default,erudite_explorers,ethic_fanatic_egalitarian|ethic_materialist,civic_heroic_tales|civic_pleasure_seekers,auth_democratic,gov_direct_democracy,origin_default,,,classified,research,diplomatic,,false,false,save:2270.04.15.sav#country=16777241#sha256=7E49527196CAA35DCCD5FB22FF24E77C08A1EEA84C9263A52E87DF95492784B7
