category,owner,risk,next_action,count,severity,source,first_path,first_line,last_path,last_line,signature
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",105,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218575,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224132,trigger_impl.cpp:<line>: Invalid government type [gov_hive_farmers]! file
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",105,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218516,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224033,trigger_impl.cpp:<line>: Invalid government type [gov_mutualistic_behavior]! file
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",105,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218688,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224070,trigger_impl.cpp:<line>: Invalid government type [gov_parasitic_alien]! file
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",105,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218599,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224189,trigger_impl.cpp:<line>: Invalid government type [vbp_hive_mind]! file
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,99,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214227,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,217226,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference juggernaut_nosh from database common/scripted_triggers/esc_ship_size_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",97,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,229709,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,235176,"trigger_impl.cpp:<line>: Script Error: Invalid context switch [from.planet] from Precursor Expedition [archaeological_site], file: events/gpm_dig_site_events.txt line: <n>, Scope:"
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",92,error,dlc.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,1,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,92,dlc.cpp:<line>: Invalid supported_version
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",92,error,job_type.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,16098,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,16227,job_type.cpp:<line>: Missing job Localization Key
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,90,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214508,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218389,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference escortcarrier from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,89,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214173,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,217235,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference artemis from database common/scripted_triggers/esc_ship_size_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",84,error,ship_size.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,4299,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,4429,ship_size.cpp:<line>: Missing ship size Localization Key
has_job_scope,Portrait/species/job selector source,has_job evaluated in an invalid scope,Map source owner before changing jobs or portrait selectors.,78,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214240,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,215418,trigger_impl.cpp:<line>: Scripted Trigger has_job is invalid at file: gfx/portraits/asset_selectors/new_human_female_clothes_01.txt line: <n>
has_job_scope,Portrait/species/job selector source,has_job evaluated in an invalid scope,Map source owner before changing jobs or portrait selectors.,78,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214152,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,215415,trigger_impl.cpp:<line>: Scripted Trigger has_job is invalid at file: gfx/portraits/asset_selectors/new_human_male_clothes_01.txt line: <n>
has_job_scope,Portrait/species/job selector source,has_job evaluated in an invalid scope,Map source owner before changing jobs or portrait selectors.,78,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218630,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224141,"trigger_impl.cpp:<line>: [ file: gfx/portraits/asset_selectors/new_human_female_clothes_01.txt line: <n>]: Error in scripted trigger, cannot find: has_job"
has_job_scope,Portrait/species/job selector source,has_job evaluated in an invalid scope,Map source owner before changing jobs or portrait selectors.,78,error,trigger_impl.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218655,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,224136,"trigger_impl.cpp:<line>: [ file: gfx/portraits/asset_selectors/new_human_male_clothes_01.txt line: <n>]: Error in scripted trigger, cannot find: has_job"
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,77,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214217,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218378,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference ultrajuggernaut from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214509,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218390,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference SCX_Carrier from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214534,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218415,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference fe_battlecruiser from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214301,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218419,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference ironclad from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214510,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218391,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_a from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214511,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218392,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_b from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214512,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218393,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_c from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214513,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218394,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_d from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214514,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218395,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_e from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214515,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218396,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_f from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214530,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218411,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_fe from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214531,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218412,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_fe1 from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214532,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218413,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_fe2 from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214533,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218414,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_fe3 from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214516,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218397,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_g from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214517,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218398,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_h from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214518,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218399,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_i from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214519,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218400,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_j from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214520,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218401,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_k from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214521,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218402,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_l from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214522,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218403,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_m from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214523,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218404,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_n from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214524,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218405,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_o from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214525,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218406,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_p from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214526,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218407,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_q from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214527,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218408,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_r from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214528,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218409,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_strg from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,74,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214529,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218410,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference rs_heavy_dreadnought_type_tw from database common/scripted_triggers/esc_ship_size_triggers.txt
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,61,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214216,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218377,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference nsc_freebooter_flagship from database common/scripted_triggers/esc_ship_size_triggers.txt
unclassified,unknown,No strategic v2 4.4.5 risk category matched,"Review manually if this family is high-volume, fatal, or Director-adjacent.",60,info,section.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,65290,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,76769,section.cpp:<line>: section has no entity. file common/section_templates/explorationship.txt Line <n>-<n>
esc_deferred_refs,Extra Ship Components NEXT or ship-size dependency,Deferred key-reference failure for ship/component surfaces,Treat direct ESC component-template and ship-stack handling as research gated.,58,error,parser_deferred_database_objects.cpp:<line>,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,214300,C:\Users\Admin\Documents\Paradox Interactive\Stellaris\logs\error.log,218418,parser_deferred_database_objects.cpp:<line>: Failed to deferred read key reference fe_titan from database common/scripted_triggers/esc_ship_size_triggers.txt
