benefit_class,object_type,object_id,role,strategic_tags,evidence_kind,valuation_status,formula_status,benefit_amount,source_terms,matched_modifier_keys,matched_tags,priority_score,can_demolish,can_build,can_be_disabled,has_destroy_trigger,winning_mod_name,winning_file
amenities,building,building_fe_sky_dome,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3750.0,amenities,planet_amenities_add,,0.0,yes,yes,default,yes,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_fe_xeno_zoo,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,0.0,yes,no,default,no,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_frameworld_outpost,strategic_support,cannot_demolish,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,no,no,no,no,Gigastructural Engineering & More (4.4),common\buildings\giga_frameworld_buildings.txt
amenities,building,building_genomic_facility,habitat_growth_center,habitat_growth_center|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add|planet_amenities_no_happiness_add,,100.0,default,default,default,yes,Stellaris vanilla,common\buildings\22_biogenesis_buildings.txt
amenities,building,building_giga_aeternum_megacity_factory,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,0.2,amenities,planet_amenities_mult,,0.0,default,default,default,no,Gigastructural Engineering & More (4.4),common\buildings\giga_aeternum_buildings.txt
amenities,building,building_giga_ancient_palace,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1200.0,amenities,planet_amenities_add,,0.0,yes,no,default,no,Gigastructural Engineering & More (4.4),common\buildings\giga_fallen_empire_buildings.txt
amenities,building,building_giga_corrona_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_corrona_buildings.txt
amenities,building,building_giga_corrona_homes,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_corrona_buildings.txt
amenities,building,building_giga_elysium_host_jobs,strategic_support,cannot_demolish,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,100.0,amenities,planet_amenities_add,,0.0,no,no,no,no,Gigastructural Engineering & More (4.4),common\buildings\giga_elysium_other_buildings.txt
amenities,building,building_giga_elysium_trash_heap,strategic_support,cannot_demolish,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,200.0,amenities,planet_amenities_add|planet_amenities_no_happiness_add,,0.0,no,no,no,no,Gigastructural Engineering & More (4.4),common\buildings\giga_elysium_other_buildings.txt
amenities,building,building_giga_ezic_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
amenities,building,building_giga_flusion_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
amenities,building,building_giga_flusion_home,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
amenities,building,building_giga_gas_giant_habitation_module,habitat_support_center,habitat_support_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add|planet_amenities_no_happiness_add,,5.0,default,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_buildings.txt
amenities,building,building_giga_katzen_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
amenities,building,building_giga_matrioshka_brain_uplink_entertainment,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-0.2,amenities,pop_amenities_usage_mult,,10.0,default,default,default,no,Gigastructural Engineering & More (4.4),common\buildings\giga_matrioshka_brain_uplinks.txt
amenities,building,building_giga_paluush_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_buildings.txt
amenities,building,building_giga_paluush_homes,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,100.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_buildings.txt
amenities,building,building_hab_capital,habitat_support_center,cannot_demolish|capital_or_empire_unique_candidate|habitat_support_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,800.0,amenities,planet_amenities_add,,15.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_hab_fe_capital,habitat_support_center,capital_or_empire_unique_candidate|habitat_support_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,15.0,yes,no,default,no,Stellaris vanilla,common\buildings\13_fallen_empire_buildings.txt
amenities,building,building_hab_major_capital,habitat_support_center,cannot_demolish|capital_or_empire_unique_candidate|habitat_support_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1050.0,amenities,planet_amenities_add,,15.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_hab_system_capital,habitat_support_center,cannot_demolish|capital_or_empire_unique_candidate|habitat_support_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1300.0,amenities,planet_amenities_add,,15.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_hive_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,800.0,amenities,planet_amenities_add,,10.0,no,no,no,yes,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_hive_crude_huts,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_hive_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_hive_primitive_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_no_happiness_add,,10.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_hive_stone_palace,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_no_happiness_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_hive_warren,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_no_happiness_add,,0.0,default,default,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_imperial_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_imperial_capital_wilderness,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_imperial_hive_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_imperial_machine_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_instrument_sanctum,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,0.1,amenities,planet_amenities_mult,,10.0,default,default,default,yes,Stellaris vanilla,common\buildings\12_event_buildings.txt
amenities,building,building_junkheap,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,0.0,yes,no,no,no,Stellaris vanilla,common\buildings\12_event_buildings.txt
amenities,building,building_katzen_theater,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2400.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Gigastructural Engineering & More (4.4),common\buildings\giga_flusion_buildings.txt
amenities,building,building_lathe_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt
amenities,building,building_lathe_cogitator,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-5000.0,amenities,planet_amenities_add,,10.0,default,default,default,no,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt
amenities,building,building_lathe_life_support,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,0.0,default,default,default,no,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt
amenities,building,building_lathe_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt
amenities,building,building_lathe_super_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\20_machine_age_buildings.txt
amenities,building,building_low_tech_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,700.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\16_first_contact_buildings.txt
amenities,building,building_luxury_residence,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,0.0,default,default,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_machine_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,10.0,no,no,no,yes,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_machine_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_machine_system_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_major_capital_wilderness,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_medical_2,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-0.1,amenities,pop_amenities_usage_organic_mult,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_medical_3,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-0.1,amenities,pop_amenities_usage_organic_mult,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_mem_ancestors_grudge_hoarder_depot,habitat_growth_center,capital_or_empire_unique_candidate|habitat_growth_center|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,0.02,amenities,planet_amenities_mult,,11.25,default,default,default,yes,More Events Mod,common\buildings\mem_ancestors_grudge_buildings.txt
amenities,building,building_mem_colony_ship_protocity,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Events Mod,common\buildings\mem_colony_ship_buildings.txt
amenities,building,building_mem_colony_ship_shelter,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Events Mod,common\buildings\mem_colony_ship_buildings.txt
amenities,building,building_mem_lost_emperor_ancient_palace,habitat_growth_center,capital_or_empire_unique_candidate|habitat_growth_center|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,285.0,yes,no,default,yes,More Events Mod,common\buildings\mem_lost_emperor_buildings.txt
amenities,building,building_mem_lunar_age_colonial_administration,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Events Mod,common\buildings\mem_lunar_age_buildings.txt
amenities,building,building_mem_primitive_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,More Events Mod,common\buildings\mem_primitive_buildings.txt
amenities,building,building_mem_vazuran_worker_exploiter,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,0.2,amenities,pop_amenities_usage_mult,,0.0,default,yes,default,yes,More Events Mod,common\buildings\mem_vazuran_buildings.txt
amenities,building,building_mp_machine_primitive_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,More Primitives,common\buildings\mp_primitive_buildings.txt
amenities,building,building_mp_primitive_academy,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Primitives,common\buildings\mp_primitive_buildings.txt
amenities,building,building_mp_primitive_philosophers_palace,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Primitives,common\buildings\mp_primitive_buildings.txt
amenities,building,building_mp_primitive_snowpiercer_train,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1.0,amenities,pop_amenities_usage_add,,0.0,yes,no,default,yes,More Primitives,common\buildings\mp_primitive_buildings.txt
amenities,building,building_mp_underground_bunker,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,More Primitives,common\buildings\mp_primitive_buildings.txt
amenities,building,building_paradise_dome,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,3000.0,amenities,planet_amenities_add,,0.0,default,no,default,yes,Stellaris vanilla,common\buildings\07_amenity_buildings.txt
amenities,building,building_pd_planet_infester_3,strategic_support,cannot_demolish|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-0.2,amenities,pop_amenities_usage_mult,,0.0,no,no,no,yes,Stellar AI Director,common\buildings\zzzz_staid_12_planetary_diversity_buildings.txt
amenities,building,building_primitive_capital,capital_world,capital_or_empire_unique_candidate|has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,5000.0,amenities,planet_amenities_add,,10.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_resort_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_resort_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_slave_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_slave_major_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,1000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_stone_palace,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2500.0,amenities,planet_amenities_add,,0.0,yes,no,default,yes,Stellaris vanilla,common\buildings\11_primitive_buildings.txt
amenities,building,building_system_capital,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\00_capital_buildings.txt
amenities,building,building_system_capital_wilderness,capital_world,cannot_demolish|capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,no,no,no,no,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,building_waste_reprocessing_center,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,500.0,amenities,planet_amenities_add,,0.0,yes,yes,default,yes,Stellaris vanilla,common\buildings\12_event_buildings.txt
amenities,building,building_wilderness_storm_relief,strategic_support,has_destroy_trigger,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,900.0,amenities,planet_amenities_no_happiness_add,,0.0,default,default,default,yes,Stellaris vanilla,common\buildings\21_wilderness_buildings.txt
amenities,building,esc_building_cerebral_node,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_no_happiness_add,,10.0,default,default,default,no,Extra Ship Components NEXT,common\buildings\esc_buildings_general.txt
amenities,building,esc_building_culture_nexus,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_add,,10.0,default,default,default,no,Extra Ship Components NEXT,common\buildings\esc_buildings_general.txt
amenities,building,esc_building_network_regulator,capital_world,capital_or_empire_unique_candidate,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,2000.0,amenities,planet_amenities_no_happiness_add,,10.0,default,default,default,no,Extra Ship Components NEXT,common\buildings\esc_buildings_general.txt
amenities,building,esc_building_reprocessing_plant,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,-0.3,amenities,pop_amenities_usage_mult|pop_amenities_usage_no_happiness_mult,,0.0,default,default,default,no,Extra Ship Components NEXT,common\buildings\esc_buildings_resources.txt
amenities,building,gpm_building_ascension_tower,strategic_support,none,numeric_modifier,numeric_value_preserved,resource_or_modifier_amount,7000.0,amenities,planet_amenities_add,,0.0,default,default,default,no,Guilli's Planet Modifiers and Features,common\buildings\gpm_buildings.txt
