load_position,game_registry_id,steam_id,display_name,version,required_version,source,root,common_exists,descriptor_exists,is_focus_source
23,mod/ugc_3441138115.mod,3441138115,Animated Brontosaur,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3441138115,True,True,False
24,mod/ugc_3455445703.mod,3455445703,Animated Amphiboids,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3455445703,True,True,False
25,mod/ugc_3657310962.mod,3657310962,Animated Portraits - Seelikor Portraits,,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3657310962,True,True,False
26,mod/ugc_3658957565.mod,3658957565,Dimorphism+ - Fox Portraits,,4.2.*,steam,c:\steam\steamapps\workshop\content\281990\3658957565,False,True,False
27,mod/ugc_3665532588.mod,3665532588,Animated Portraits Redone - Astroraptor Portraits,,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3665532588,True,True,False
28,mod/ugc_3721963320.mod,3721963320,Animated Zeriphen Portraits Redone,,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3721963320,True,True,False
29,mod/ugc_3484023963.mod,3484023963,Species Traits Expansion: Galactic Diversity,,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3484023963,True,True,False
30,mod/rk_immortal_leaders_trait.mod,,RK Immortal Leaders Trait,,v4.4.*,local,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\RKImmortalLeadersTrait,True,True,False
31,mod/rk_godly_traits_redux_44.mod,,RK Godly Traits Redux 4.4,,v4.4.*,local,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\RKGodlyTraitsRedux44,True,True,False
32,mod/rk_cheat_traits_44.mod,,RK Cheat Traits 4.4,,v4.4.*,local,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\RKCheatTraits44,True,True,False
33,mod/ugc_2936596940.mod,2936596940,Osiris's Namelists for Stellaris,,3.*,steam,c:\steam\steamapps\workshop\content\281990\2936596940,True,True,False
34,mod/ugc_682691478.mod,682691478,Cybrxkhan's Assortment of Namelists for Stellaris,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\682691478,True,True,False
35,mod/ugc_2811907627.mod,2811907627,"Flags, Emblems and Backgrounds Merged",,v*,steam,c:\steam\steamapps\workshop\content\281990\2811907627,False,True,False
36,mod/ugc_3245080043.mod,3245080043,Kurogane 2.0,,v4.**.*,steam,c:\steam\steamapps\workshop\content\281990\3245080043,True,True,False
37,mod/ugc_3294143768.mod,3294143768,Kurogane 2.0: No KGX Sections,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3294143768,True,True,False
38,mod/ugc_3285153766.mod,3285153766,Kurogane 2.0: Titan-Juggernaut and Frigate Swap,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3285153766,False,True,False
39,mod/ugc_2040763291.mod,2040763291,Universe at War: Novus Ships,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2040763291,True,True,False
40,mod/ugc_2028165747.mod,2028165747,Universe at War: Hierarchy Ships,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2028165747,True,True,False
41,mod/ugc_2824886393.mod,2824886393,B5 Shadows Ship Set,,v4.4.4,steam,c:\steam\steamapps\workshop\content\281990\2824886393,True,True,False
42,mod/ugc_2831178263.mod,2831178263,Star Wars Separatist Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2831178263,True,True,False
43,mod/ugc_2829069669.mod,2829069669,Star Wars Empire Ships 4.4 NSC3 Edition,,v4.4*,steam,c:\steam\steamapps\workshop\content\281990\2829069669,True,True,False
44,mod/ugc_2871981062.mod,2871981062,Star Wars Sith Empire Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2871981062,True,True,False
45,mod/ugc_2822984175.mod,2822984175,Star Wars Rebel Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2822984175,True,True,False
46,mod/ugc_3315764351.mod,3315764351,Star Wars Zann Consortium Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3315764351,True,True,False
47,mod/ugc_2825986399.mod,2825986399,Star Wars Republic Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2825986399,True,True,False
48,mod/ugc_3432698915.mod,3432698915,Star Wars Yuusan Vong Ships 4.4 NSC3 Edition,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3432698915,True,True,False
49,mod/ugc_2960574667.mod,2960574667,Vengeance Shipset,,v4.**.*,steam,c:\steam\steamapps\workshop\content\281990\2960574667,True,True,False
50,mod/ugc_2864630469.mod,2864630469,[JP_EN]Bioparasitic Shipset,,v4.4.3,steam,c:\steam\steamapps\workshop\content\281990\2864630469,True,True,False
51,mod/ugc_2151652085.mod,2151652085,Apocalypse Molluscoid Ships: 2.7,,v4.0.4,steam,c:\steam\steamapps\workshop\content\281990\2151652085,True,True,False
52,mod/ugc_2148259818.mod,2148259818,Fairy Empire Shipset,,*,steam,c:\steam\steamapps\workshop\content\281990\2148259818,True,True,False
53,mod/ugc_2972849902.mod,2972849902,Tall White Reborn,,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\2972849902,True,True,False
54,mod/ugc_3250584386.mod,3250584386,Synthetic Queen Ship Set,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3250584386,True,True,False
55,mod/ugc_3071707483.mod,3071707483,Neo-Enigmatic Shipset,,4.2.*,steam,c:\steam\steamapps\workshop\content\281990\3071707483,True,True,False
56,mod/ugc_3524998443.mod,3524998443,Dawn of Andromeda: Higharth Shipset,,v4.0.21,steam,c:\steam\steamapps\workshop\content\281990\3524998443,True,True,False
57,mod/ugc_3502102519.mod,3502102519,Dawn of Andromeda: Drekkos Shipset,,v4.0.21,steam,c:\steam\steamapps\workshop\content\281990\3502102519,True,True,False
58,mod/ugc_1436141067.mod,1436141067,AI Ship Set - LS Edition,,v4.4.4,steam,c:\steam\steamapps\workshop\content\281990\1436141067,True,True,False
59,mod/ugc_2160610678.mod,2160610678,C&C: Scrin Ships,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2160610678,True,True,False
60,mod/ugc_687226658.mod,687226658,No Clustered Starts,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\687226658,False,True,False
61,mod/ugc_2878075116.mod,2878075116,More Primitives,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2878075116,True,True,False
62,mod/ugc_1121692237.mod,1121692237,Gigastructural Engineering & More (4.4),,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1121692237,True,True,True
63,mod/ugc_865040033.mod,865040033,Guilli's Planet Modifiers and Features,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\865040033,True,True,False
64,mod/ugc_819148835.mod,819148835,Planetary Diversity,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\819148835,True,True,True
65,mod/ugc_3173239930.mod,3173239930,Planetary Diversity - Vanilla Replacements,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3173239930,False,True,True
66,mod/ugc_1732447147.mod,1732447147,Planetary Diversity - More Arcologies,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1732447147,True,True,True
67,mod/ugc_2284514368.mod,2284514368,Planetary Diversity - Gaia Worlds,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2284514368,False,True,True
68,mod/ugc_3266531829.mod,3266531829,Immersive Galaxy Reborn,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3266531829,False,True,False
69,mod/ugc_2638108246.mod,2638108246,Ancient Systems,,v4.1.*,steam,c:\steam\steamapps\workshop\content\281990\2638108246,True,True,False
70,mod/ugc_2648658105.mod,2648658105,Extra Ship Components NEXT,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2648658105,True,True,True
71,mod/ugc_683230077.mod,683230077,NSC3,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\683230077,True,True,True
72,mod/ugc_3250900527.mod,3250900527,Starbase Extended 3.0,,v4.**.*,steam,c:\steam\steamapps\workshop\content\281990\3250900527,True,True,True
73,mod/ugc_2653789292.mod,2653789292,ESC NEXT: Overwrites: Component Progression,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2653789292,True,True,False
74,mod/ugc_2653699311.mod,2653699311,ESC NEXT: Overwrites: Global Ship Designs,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2653699311,True,True,False
75,mod/ugc_2663957444.mod,2663957444,ESC NEXT: Overwrites: Special Weapon Types Patch,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2663957444,True,True,False
76,mod/ugc_2769917594.mod,2769917594,ASB Addon: ESC NEXT,,4.*.*,steam,c:\steam\steamapps\workshop\content\281990\2769917594,False,True,False
77,mod/ugc_3494095006.mod,3494095006,Synthetic Queen Shipset - NSC3 Patch,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3494095006,False,True,False
78,mod/ugc_3488219526.mod,3488219526,Neo-Enigmatic Shipset  - NSC3 Patch,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3488219526,False,True,False
79,mod/ugc_3526218540.mod,3526218540,Dawn of Andromeda - Higharth Shipset - NSC3 Patch,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3526218540,False,True,False
80,mod/ugc_3503278878.mod,3503278878,Dawn of Andromeda - Drekkos Shipset - NSC3 Patch,,v4.0.*,steam,c:\steam\steamapps\workshop\content\281990\3503278878,False,True,False
81,mod/ugc_2936292863.mod,2936292863,[Salvaged+]Marauders & Menacing Remodeled,,v4.4.3,steam,c:\steam\steamapps\workshop\content\281990\2936292863,True,True,False
82,mod/ugc_727000451.mod,727000451,More Events Mod,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\727000451,True,True,False
83,mod/ugc_3723865830.mod,3723865830,Archaeology Story Pack 4.4.1,,v4.4.3,steam,c:\steam\steamapps\workshop\content\281990\3723865830,True,True,False
84,mod/ugc_3728581560.mod,3728581560,Forgotten Empires 4.4.1,,v4.4.3,steam,c:\steam\steamapps\workshop\content\281990\3728581560,True,True,False
85,mod/ugc_3706385523.mod,3706385523,Extra Events 4.3 Continued,,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3706385523,True,True,False
86,mod/ugc_2273568769.mod,2273568769,AI-Player Exclusive Archaeology & Astral Rifts,,v4.2.*,steam,c:\steam\steamapps\workshop\content\281990\2273568769,True,True,False
87,mod/ugc_3354855440.mod,3354855440,Unique Systems Guaranteed,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3354855440,True,True,False
88,mod/ugc_1286356239.mod,1286356239,Planet Raider,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1286356239,True,True,False
89,mod/ugc_3270451562.mod,3270451562,Fleet Formation Mod - No Trails,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3270451562,True,True,False
90,mod/ugc_3072726361.mod,3072726361,Kleom's Colorful Ships,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3072726361,False,True,False
91,mod/ugc_2816035124.mod,2816035124,Wormhole Jump Gates,,3.*,steam,c:\steam\steamapps\workshop\content\281990\2816035124,False,True,False
92,mod/ugc_3674156622.mod,3674156622,4x Reduced MIA,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3674156622,True,True,False
93,mod/ugc_2592505015.mod,2592505015,Reduce Truce To Only 3 Year 3.12,,3.12.4,steam,c:\steam\steamapps\workshop\content\281990\2592505015,True,True,False
94,mod/ugc_2815767345.mod,2815767345,Smarter Hyper Relays: Improved AI (shrimpAI),,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\2815767345,True,True,False
95,mod/ugc_3496531985.mod,3496531985,Faster City Growth,,v4.*,steam,c:\steam\steamapps\workshop\content\281990\3496531985,False,True,False
96,mod/ugc_2907769573.mod,2907769573,Just Star Names (Continued),,v4.*,steam,c:\steam\steamapps\workshop\content\281990\2907769573,True,True,False
97,mod/ugc_3243319558.mod,3243319558,Ideal System Locator (formerly Arc Furnace System Locator +),,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3243319558,True,True,False
98,mod/ugc_2762664736.mod,2762664736,Ancient Systems Difficulty MOD,,v4.1.*,steam,c:\steam\steamapps\workshop\content\281990\2762664736,True,True,False
99,mod/ugc_3464267804.mod,3464267804,主宰可编队,,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\3464267804,True,True,False
100,mod/ugc_2939375682.mod,2939375682,More Mercenary Shipgraphics,,v4.4.3,steam,c:\steam\steamapps\workshop\content\281990\2939375682,True,True,False
101,mod/ugc_3496262792.mod,3496262792,Chris’ Covert Operations,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3496262792,True,True,False
102,mod/ugc_3657108661.mod,3657108661,Empire-Scaled Leader Capacity (4.*),,v4.3.*,steam,c:\steam\steamapps\workshop\content\281990\3657108661,True,True,False
103,mod/ugc_1623423360.mod,1623423360,UI Overhaul Dynamic,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1623423360,False,True,False
104,mod/ugc_2976235256.mod,2976235256,Improved Leaders View (UI),,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2976235256,False,True,False
105,mod/ugc_2978032655.mod,2978032655,UI Overhaul Dynamic + Improved Leaders View,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\2978032655,False,True,False
106,mod/ugc_3002188516.mod,3002188516,UI Overhaul Dynamic + Gigastructural Engineering,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3002188516,True,True,False
107,mod/ugc_1623423504.mod,1623423504,UI Overhaul Dynamic + Planetary Diversity,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1623423504,False,True,False
108,mod/ugc_3339549399.mod,3339549399,UI Overhaul Dynamic - Tiny Options,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3339549399,False,True,False
109,mod/ugc_1628912584.mod,1628912584,UI Overhaul Dynamic - Tiny Outliner,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\1628912584,False,True,False
110,mod/ugc_3090328185.mod,3090328185,UI Overhaul Dynamic - Extended Topbar for DLCs,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3090328185,False,True,False
111,mod/ugc_3647490194.mod,3647490194,RustyMonthlyLimits,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3647490194,False,True,False
112,mod/ugc_3724178181.mod,3724178181,Post Survey Discoveries,,v4.3.7,steam,c:\steam\steamapps\workshop\content\281990\3724178181,True,True,False
113,mod/ugc_3536044971.mod,3536044971,RSA - Feature Preserver - Deposit Fixer,,v4.4.2,steam,c:\steam\steamapps\workshop\content\281990\3536044971,True,True,False
114,mod/ugc_3657869155.mod,3657869155,Feature Preserver Dependency,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3657869155,True,True,False
115,mod/ugc_3610149307.mod,3610149307,Stellar AI,,v4.4.4,steam,c:\steam\steamapps\workshop\content\281990\3610149307,True,True,True
116,mod/ugc_3696204283.mod,3696204283,Spacefleet Tactica,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3696204283,True,True,True
117,mod/ugc_3703611846.mod,3703611846,SFT ADD-ON : Disable New Ship Sections,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3703611846,True,True,False
118,mod/ugc_3726506420.mod,3726506420,SFT ADD-ON : Combat Computer Restriction Removal,,v4.4.*,steam,c:\steam\steamapps\workshop\content\281990\3726506420,True,True,False
119,mod/ugc_1595876588.mod,1595876588,!!!Universal Resource Patch [2.4+],,v4.*.*,steam,c:\steam\steamapps\workshop\content\281990\1595876588,False,True,True
120,mod/StellarAIDirector.mod,,Stellar AI Director,,v4.4.*,local,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\mods\StellarAIDirector,True,True,True
