surface,folder,merge_model,load_position,game_registry_id,steam_id,display_name,source_kind,root,folder_exists,file_count,object_count,ai_weight_object_count,parse_error_count
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
on_actions,on_actions,additive_object_merge,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,2,mod/ugc_1880071041.mod,1880071041,ASB Ironman,enabled_mod,c:\steam\steamapps\workshop\content\281990\1880071041,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
on_actions,on_actions,additive_object_merge,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,3,mod/ugc_1468105710.mod,1468105710,ASB Addon: More Particles,enabled_mod,c:\steam\steamapps\workshop\content\281990\1468105710,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
on_actions,on_actions,additive_object_merge,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,4,mod/ugc_3153706012.mod,3153706012,! Immersive Energy Shield,enabled_mod,c:\steam\steamapps\workshop\content\281990\3153706012,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
on_actions,on_actions,additive_object_merge,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,5,mod/ugc_2603749338.mod,2603749338,Immersive Camera,enabled_mod,c:\steam\steamapps\workshop\content\281990\2603749338,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
on_actions,on_actions,additive_object_merge,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
component_sets,component_sets,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
global_ship_designs,global_ship_designs,last_definition_wins_by_design_name,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
districts,districts,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
zones,zones,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
zone_slots,zone_slots,last_definition_wins_by_object_id,6,mod/ugc_3597087138.mod,3597087138,Cityscapes Revived,enabled_mod,c:\steam\steamapps\workshop\content\281990\3597087138,no,0,0,0,0
economic_plans,economic_plans,additive_object_merge,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
ai_budget,ai_budget,top_level_duplicate_unproven; category/resource duplicates allowed,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
ai_planet_specialization,ai_planet_specialization,folder_absent_in_local_4.4.5,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
colony_types,colony_types,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
colony_automation,colony_automation,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
colony_automation_categories,colony_automation_categories,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
on_actions,on_actions,additive_object_merge,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
megastructures,megastructures,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
starbase_modules,starbase_modules,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
starbase_buildings,starbase_buildings,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
ship_sizes,ship_sizes,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
section_templates,section_templates,last_definition_wins_by_section_key,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
component_templates,component_templates,last_definition_wins_by_object_id,7,mod/ugc_3691866974.mod,3691866974,RustyVanillaRooms,enabled_mod,c:\steam\steamapps\workshop\content\281990\3691866974,no,0,0,0,0
